objectid,system_id,format,title,item_type,author,primary_investigator,supervisor,all_people,date,date-range,department,college,desciprition,amount,status,sponsor,prime,notes,abstract,subject,language,format_description,identifier,degree,publisher,permalink,proposal,due_date,direct,indirect,oh_rate,start_date,end_date,approval,action
ikdb049,CP71193471350001451,record,"Interpreting the landscape, a Nez Perce perspective : lessons from the cultural landscape",Thesis,Jan L. Kirchhoff Smith,,"Stephen R. Drown, 1949- degree supervisor.","Jan L. Kirchhoff Smith ; Stephen R. Drown, 1949- degree supervisor.",2013,,,, | Major professor: Stephen Drown.; Includes bibliographical references (leaves 124-128).,,,,,Major professor: Stephen Drown.; Includes bibliographical references (leaves 124-128).,,"Nez Percé Indians; Ethnoecology -- Northwest, Pacific; Landscape architecture",eng,"xiii, 146 leaves : illustrations (chiefly color), maps (some color) ; 28 cm + 1 CD-ROM (sound, color ; 4 3/4 in.)",,M.L.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71193471350001451,,,,,,,,,
ikdb050,CP71123818840001451,record,"The geology of the Indian Hot Springs area, Owyhee County, Idaho",Thesis,Eric M. Lafko,,,Eric M. Lafko ; ,1984,,,, | Typescript.; One map in folded leaf in pocket.; Includes bibliographical references (leaves 77-79).,,,,,Typescript.; One map in folded leaf in pocket.; Includes bibliographical references (leaves 77-79).,,Geology -- Idaho -- Owyhee County,eng,"ix, 109 leaves : illustrations (some color), maps ; 28 cm",,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71123818840001451,,,,,,,,,
ikdb051,CP71261501140001451,record,The complexities of neophyte diet : an analysis of faunal remains from feature 157 at Mission Santa Clara de Asís,Thesis,Lindsay (Lindsay Aliana) Kiel,,Mark S. Warner,Lindsay (Lindsay Aliana) Kiel ; Mark S. Warner,2016,,Anthropology,,"Abstract: Between 1769 and 1823, twenty-one missions located from Sonoma down to San Diego were founded in Alta California. With the creation of these missions came the transition of thousands of Native Californians from a life of seasonal rounds to one of sedentary agriculture, all within the span of just a few years' time. While the missions closed in 1837, many remain standing to this day, providing a wealth of information about the people who lived there and about the transition from Native subsistence practices to farming and Christianity. This thesis focuses on Mission Santa Clara de Asís, located in the southern end of the San Francisco Bay Area. The soil of Mission Santa Clara contains a plethora of information on the lives of the Native people who lived there, and the archaeology that continuously occurs on the site helps to illuminate that. In this thesis, I analyze the faunal remains from Feature 157, a multi-use pit feature that was excavated in the fall of 2013. By looking at primary source documents written by the Mission Santa Clara padres and by visitors to the mission, I compare the diet of the neophytes as it is recorded in these documents to the skeletal remains present in this assemblage. While researchers have shown that mission Indians ate wild fauna at other missions, I use the Feature 157 assemblage to show the same with Mission Santa Clara. | Major professor: Mark Warner.; Accompanying supplemental files contains Appendix B Full analysis database.; Includes bibliographical references (pages 93-98).",,,,,Major professor: Mark Warner.; Accompanying supplemental files contains Appendix B Full analysis database.; Includes bibliographical references (pages 93-98).,"Abstract: Between 1769 and 1823, twenty-one missions located from Sonoma down to San Diego were founded in Alta California. With the creation of these missions came the transition of thousands of Native Californians from a life of seasonal rounds to one of sedentary agriculture, all within the span of just a few years' time. While the missions closed in 1837, many remain standing to this day, providing a wealth of information about the people who lived there and about the transition from Native subsistence practices to farming and Christianity. This thesis focuses on Mission Santa Clara de Asís, located in the southern end of the San Francisco Bay Area. The soil of Mission Santa Clara contains a plethora of information on the lives of the Native people who lived there, and the archaeology that continuously occurs on the site helps to illuminate that. In this thesis, I analyze the faunal remains from Feature 157, a multi-use pit feature that was excavated in the fall of 2013. By looking at primary source documents written by the Mission Santa Clara padres and by visitors to the mission, I compare the diet of the neophytes as it is recorded in these documents to the skeletal remains present in this assemblage. While researchers have shown that mission Indians ate wild fauna at other missions, I use the Feature 157 assemblage to show the same with Mission Santa Clara.",Santa Clara Mission;  Indians of North America -- Food -- California -- San Francisco Bay Area;  Indians of North America -- Cultural assimilation -- California -- San Francisco Bay Area;  Indians of North America -- California -- San Francisco Bay Area -- Antiquities;  Animal remains (Archaeology) -- California -- San Francisco Bay Area;  Excavations (Archaeology) -- California -- San Francisco Bay Area;  San Francisco Bay Area (Calif.) -- Antiquities;  California -- Antiquities,eng,"1 online resource (v, 106 pages) : color illustrations; 1 online resource (1 data file)",ISBN: 9781339931746 ; ISBN: 1339931745,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71261501140001451,,,,,,,,,
ikdb052,CP71205331150001451,record,Coming to Know : An Indigenist Informed ethnography on Nimíipuu Knowledge and its Integration into Environmental Management,Thesis,Morgan Anne Zedalis,,Nick Sanyal,Morgan Anne Zedalis ; Nick Sanyal,2014,,Natural Resources,, | Major professor: Nick Sanyal.; Includes bibliographical references.,,,,,Major professor: Nick Sanyal.; Includes bibliographical references.,,Indigenous peoples -- Ecology -- Idaho; Nez Percé Indians; Indian philosophy -- North America,eng,"viii, 123 leaves : illustrations ; 29 cm.",,Ph. D.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71205331150001451,,,,,,,,,
ikdb053,CP71256407770001451,record,A conceptual framework for developing and implementing integrated water resources management (IWRM) programs in the United States,Thesis,Gerald Sehlke,,John C. Tracy,Gerald Sehlke ; John C. Tracy,2016,,"Water Resources Law, Management, and Policy",,"Abstract: The United States (U.S.) is a resource-rich nation and the development of our water and water-related resources has created great socioeconomic stability and allowed Americans to prosper for more than 200 years. However, development of these resources has not been without its attendant costs. Global change has impacted virtually every river basin in the U.S., often degrading the quality and availability of water and water-related resources. The concept of Integrated Water Resources Management (IWRM) has evolved over approximately the past 50 years and it was formally accepted internationally as part of Agenda 21 in 1992. IWRM provides a holistic, systematic, and integrated framework that promotes the sustainable development and management of water and water-related resources in order to maximize the economic and social welfare of humans without compromising the sustainability of the environment. IWRM was designed for world-wide applicability; it has been largely embraced by the international water resources community, but not by the U.S. water resources community. However, a growing number of U.S. organizations now believe that IWRM can significantly improve water resources management in the U.S. (e.g., AWRA 2011, AwwaRF 1998, and USACE 2010a). As demands for and conflicts over water and water-related resources continue to increase, it may be time for the U.S. water community to develop more holistic, systematic, and integrated policies, laws, methods, and tools to meet those growing demands and changing needs. IWRM may be the most appropriate next step for managing water and water-related resource needs in the U.S.A few others have discussed conceptual models for implementing IWRM in the U.S. (e.g., Shabman and Scodari 2012). However, most IWRM-related research in the U.S. is focused on the implementation of project-level or watershed-level programs. This research focuses on developing a scientifically-based policy and legal framework to assist state, tribal and federal natural resource and environmental policy- and decision-makers refocus and/or modify their existing policies and laws with respect to implementing IWRM, where they deem it is appropriate and desirable to do so within their jurisdiction. | Major professor: John Tracy.; Includes bibliographical references.",,,,,Major professor: John Tracy.; Includes bibliographical references.,"Abstract: The United States (U.S.) is a resource-rich nation and the development of our water and water-related resources has created great socioeconomic stability and allowed Americans to prosper for more than 200 years. However, development of these resources has not been without its attendant costs. Global change has impacted virtually every river basin in the U.S., often degrading the quality and availability of water and water-related resources. The concept of Integrated Water Resources Management (IWRM) has evolved over approximately the past 50 years and it was formally accepted internationally as part of Agenda 21 in 1992. IWRM provides a holistic, systematic, and integrated framework that promotes the sustainable development and management of water and water-related resources in order to maximize the economic and social welfare of humans without compromising the sustainability of the environment. IWRM was designed for world-wide applicability; it has been largely embraced by the international water resources community, but not by the U.S. water resources community. However, a growing number of U.S. organizations now believe that IWRM can significantly improve water resources management in the U.S. (e.g., AWRA 2011, AwwaRF 1998, and USACE 2010a). As demands for and conflicts over water and water-related resources continue to increase, it may be time for the U.S. water community to develop more holistic, systematic, and integrated policies, laws, methods, and tools to meet those growing demands and changing needs. IWRM may be the most appropriate next step for managing water and water-related resource needs in the U.S.A few others have discussed conceptual models for implementing IWRM in the U.S. (e.g., Shabman and Scodari 2012). However, most IWRM-related research in the U.S. is focused on the implementation of project-level or watershed-level programs. This research focuses on developing a scientifically-based policy and legal framework to assist state, tribal and federal natural resource and environmental policy- and decision-makers refocus and/or modify their existing policies and laws with respect to implementing IWRM, where they deem it is appropriate and desirable to do so within their jurisdiction.",Integrated water development -- United States;  Water-supply -- United States -- Management,eng,"1 online resource (x, 243 pages) : illustrations (chiefly color)",ISBN: 9781339740560 ; ISBN: 1339740567,Ph. D.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71256407770001451,,,,,,,,,
ikdb054,CP71157930920001451,record,Vegetation retreatments to reduce hazardous fuels on Coeur d'Alene tribal forests in northern Idaho,Thesis,Erik W. Sjoquist,,,Erik W. Sjoquist ; ,2007,,Forest Resources,, | Major professor: Ronald L. Mahoney.; Includes bibliographical references (leaves 44-46).,,,,,Major professor: Ronald L. Mahoney.; Includes bibliographical references (leaves 44-46).,,Ground cover fires -- Idaho -- Coeur d'Alene Indian Reservation -- Prevention and control; Forest fires -- Idaho -- Coeur d'Alene Indian Reservation -- Prevention and control; Revegetation -- Idaho -- Coeur d'Alene Indian Reservation,eng,"xii, 50 leaves : illustrations, maps ; 29 cm",,M.S.,"University of Idaho, December 14.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71157930920001451,,,,,,,,,
ikdb055,CP71188100280001451,record,Iceyéeye comes to school : Niimiipuu cultural competence and use of traditional Niimiipuu 'Iceyéeye stories to construct indigenous knowledge with classroom teachers for our children,Thesis,"Arthur Maxwell Taylor, 1965-2013",,Georgia Johnson,"Arthur Maxwell Taylor, 1965-2013 ; Georgia Johnson",2012,,,,"Abstract: From time immemorial, the Niimiipuu (Nez Perce) were very successful in passing on the traditions, languages, religions, and practices of the tribal people. Once created by 'Iceyéeye (Coyote), the Children of the Coyote (Nez Perce) began to build and create their own society. The Niimiipuu built a system based upon economics, medicine, science, and academics. This society knew that in order for the people to perpetuate; Knowledge would need to be passed down from one generation to the next. Century after century, this Knowledge has been molded, refined, and evolving as time changes and as every new season moves .n and one departs.; The Niimiipuu must work at reclaiming 'Iceyéeye stories. The colonization of the Niimiipuu has proven to be detrimental to our history, language, and stories. As fluent speakers within the Niimiipuu have moved on to the next world, the Niimiipuu have worked at remembering the important us: of language and the role it plays in tribal society and the education of children. When stories are heard once again, we can change our focus on the education of children; to do this, teachers must begin to explore the different use of our stories. These stories must be woven into the daily classrooms and as educators; the teachers must have access to this Knowledge so the teachers have the ability to share with the children. Using 'Iceyéeye stories to provide training in Niimiipuu cultural competency will enable the faculty to begin to understand the cultural value the Niimiipuu place on the education of children and how traditional practices can once again be integral to the success of Niimiipuu children in the public educational school system on the Nez Perce Indian Reservation. | Major professor: Georgia Johnson.; Includes bibliographical references (leaves 29-31).",,,,,Major professor: Georgia Johnson.; Includes bibliographical references (leaves 29-31).,"Abstract: From time immemorial, the Niimiipuu (Nez Perce) were very successful in passing on the traditions, languages, religions, and practices of the tribal people. Once created by 'Iceyéeye (Coyote), the Children of the Coyote (Nez Perce) began to build and create their own society. The Niimiipuu built a system based upon economics, medicine, science, and academics. This society knew that in order for the people to perpetuate; Knowledge would need to be passed down from one generation to the next. Century after century, this Knowledge has been molded, refined, and evolving as time changes and as every new season moves .n and one departs.; The Niimiipuu must work at reclaiming 'Iceyéeye stories. The colonization of the Niimiipuu has proven to be detrimental to our history, language, and stories. As fluent speakers within the Niimiipuu have moved on to the next world, the Niimiipuu have worked at remembering the important us: of language and the role it plays in tribal society and the education of children. When stories are heard once again, we can change our focus on the education of children; to do this, teachers must begin to explore the different use of our stories. These stories must be woven into the daily classrooms and as educators; the teachers must have access to this Knowledge so the teachers have the ability to share with the children. Using 'Iceyéeye stories to provide training in Niimiipuu cultural competency will enable the faculty to begin to understand the cultural value the Niimiipuu place on the education of children and how traditional practices can once again be integral to the success of Niimiipuu children in the public educational school system on the Nez Perce Indian Reservation.",Nez Percé Indians -- Education; Cultural competence -- Study and teaching; Teachers -- Training of -- Idaho -- Nez Percé Indian Reservation,eng,"vi, 33 leaves ; 29 cm + 1 DVD-ROM (sound, color ; 4 3/4 in.)",,Ed. D.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71188100280001451,,,,,,,,,
ikdb056,CP71160819110001451,record,Identity and consumer behavior interpretation through the ceramic assemblage from a historic Miami tribal farmstead,Thesis,Kathryn Reudrich,,Mark S. Warner,Kathryn Reudrich ; Mark S. Warner,2007,,Anthropology,, | Major professor: Mark S. Warner.; Includes bibliographical references (leaves 106-114).,,,,,Major professor: Mark S. Warner.; Includes bibliographical references (leaves 106-114).,,Miami Indians -- Cultural assimilation -- Oklahoma -- Miami -- 19th century; Miami Indians -- Oklahoma -- Miami -- Conduct of life -- 19th century; Excavations (Archaeology) -- Oklahoma -- Miami; Archaeological assemblages -- Oklahoma -- Miami; Ceramic tableware -- Oklahoma -- Miami -- 19th century,eng,"viii, 139 leaves : color illustrations, maps ; 29 cm",,M.A.,"University of Idaho, May 2007.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71160819110001451,,,,,,,,,
ikdb057,CP71137538060001451,record,"Use of indigenous, calcite-precipitating microorganisms to strengthen liquefiable soils",Thesis,Ryan Michael Lewis,,,Ryan Michael Lewis ; ,2010,,Civil Engineering,, | Major professor: Thomas J. Weaver.; Includes bibliographical references (leaves 90-101).,,,,,Major professor: Thomas J. Weaver.; Includes bibliographical references (leaves 90-101).,,Soil stabilization;  Soil microbiology;  Soil liquefaction -- Prevention,eng,"xiii, 156 leaves : illustrations ; 29 cm",,M.S.,"University of Idaho, December 2010.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71137538060001451,,,,,,,,,
ikdb058,CP71313518920001451,record,"Coeur d'Alene Lake relationships : an interdisciplinary study of how two communities' relationships with a lake drive larger policy decisions, disputes and what those relationships tell us about the proposition of collaboration",Thesis,Jon Logan Rezabek,,"Rodney Frey, 1950- degree supervisor.","Jon Logan Rezabek ; Rodney Frey, 1950- degree supervisor.",2018,,Water Resources,,"The purpose of this study is to address unresolved and ongoing disputes concerning Coeur d'Alene Lake between the Coeur d'Alene Tribal community and the non-Tribal lakeshore communities. Specifically, this study posed two research questions: (1) How do the Tribal and non-Tribal communities surrounding Coeur d'Alene Lake view their relationship to the Lake itself? (2) Given the Tribal and non-Tribal communities' unique relationships to the Lake, are there opportunities for collaboration on Lake issues in the future? An ethnographic interviewing process, transcribing and data reduction revealed themed responses to the research questions. The findings and conclusions support the idea that an examination of the history, worldviews and perspectives of a perceived opposing party in a dispute may lead to either the identification of impediments to collaboration or the facilitation of collaboration through the revelation of understanding, common ground and respect. | Major professor: Rodney Frey.; Includes bibliographical references (leaves 81-93).",,,,,Major professor: Rodney Frey.; Includes bibliographical references (leaves 81-93).,"The purpose of this study is to address unresolved and ongoing disputes concerning Coeur d'Alene Lake between the Coeur d'Alene Tribal community and the non-Tribal lakeshore communities. Specifically, this study posed two research questions: (1) How do the Tribal and non-Tribal communities surrounding Coeur d'Alene Lake view their relationship to the Lake itself? (2) Given the Tribal and non-Tribal communities' unique relationships to the Lake, are there opportunities for collaboration on Lake issues in the future? An ethnographic interviewing process, transcribing and data reduction revealed themed responses to the research questions. The findings and conclusions support the idea that an examination of the history, worldviews and perspectives of a perceived opposing party in a dispute may lead to either the identification of impediments to collaboration or the facilitation of collaboration through the revelation of understanding, common ground and respect.",Human ecology -- Idaho -- Coeur d'Alene Lake; Ethnoecology -- Idaho -- Coeur d'Alene Lake; Indians of North America -- Coeur D'Alene Tribe -- Cross-cultural studies,eng,"x, 145 leaves : illustrations (some color), maps (some color) ; 29 cm",Print ISBN: 9780438393356,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71313518920001451,,,,,,,,,
ikdb059,CP71145920060001451,record,Effects of hazardous fuel reduction treatment maintenance on wildlife habitat components and ungulate forage habitat on Coeur d'Alene tribal forests in northern Idaho,Thesis,Karen P. Sjoquist,,,Karen P. Sjoquist ; ,2008,,Forest Resources,, | Major professor: Ronald L. Mahoney.; Includes bibliographical references (leaves 37-42).,,,,,Major professor: Ronald L. Mahoney.; Includes bibliographical references (leaves 37-42).,,Fuel reduction (Wildfire prevention) -- Idaho -- Kootenai County; Fuel reduction (Wildfire prevention) -- Idaho -- Benewah County; Wildfires -- Prevention and control -- Environmental aspects -- Idaho -- Kootenai County; Wildfires -- Prevention and control -- Environmental aspects -- Idaho -- Benewah County,eng,"ix, 53 leaves : illustrations, maps ; 29 cm",,M.S.,"University of Idaho, December 2008.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71145920060001451,,,,,,,,,
ikdb060,CP71171393090001451,record,Analysis of thermal heterogeneity and degree of channelization on Lapwai Creek,Thesis,Jaclyn N. Hancock,,"Barbara C. Williams, 1959- degree supervisor.","Jaclyn N. Hancock ; Barbara C. Williams, 1959- degree supervisor.",2012,,Water Resources,, | Major professor: Barbara C. Williams.; Includes bibliographical references.,,,,,Major professor: Barbara C. Williams.; Includes bibliographical references.,,Hyporheic zones -- Idaho -- Nez Percé Indian Reservation;  Stream channelization;  Water temperature,eng,"ix, 73 leaves : illustrations (some color), color maps ; 28 cm",,M.S.,"University of Idaho, May 2012.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71171393090001451,,,,,,,,,
ikdb061,CP71162060700001451,record,Reading as a non-Native ally : colonization and resistance in Sherman Alexie's Reservation blues and Debra Magpie Earling's Perma red,Thesis,Stephanie Pung,,,Stephanie Pung ; ,2010,,English,, | Major professor: Janis Johnson.; Includes bibliographical references (leaf 76).,,,,,Major professor: Janis Johnson.; Includes bibliographical references (leaf 76).,,"Alexie, Sherman, 1966- Reservation blues -- Criticism and interpretation; Earling, Debra Magpie. Perma red -- Criticism and interpretation; Indian literature",eng,"v, 76 leaves ; 29 cm",,M.A.,"University of Idaho, August 2010.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71162060700001451,,,,,,,,,
ikdb062,CP71159166610001451,record,The influence of the Red Stick nativist movement upon the southeast Atlantic borderlands in the age of revolution,Thesis,Jeff Washburn,,Ian David Chambers,Jeff Washburn ; Ian David Chambers,2011,,History,, | Major professor: Ian Chambers.; Includes bibliographical references (leaves 136-140).,,,,,Major professor: Ian Chambers.; Includes bibliographical references (leaves 136-140).,,"Creek Indians -- Southern States -- History -- 19th century; Creek Indians -- Cultural assimilation -- 19th century; Creek War, 1813-1814; Seminole War, 1st, 1817-1818; Creek Nation -- Foreign relations; Southern States -- Race relations -- History -- 19th century",eng,"viii, 140 leaves : illustrations, 5 maps ; 29 cm",,M.A.,"University of Idaho, June 2011.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71159166610001451,,,,,,,,,
ikdb063,CP71164026210001451,record,"The archaeology of the Lydle Gulch site (10-AA-72) : prehistoric occupation in the Boise River Canyon, southwestern Idaho",Thesis,Robert Lee Sappington,,,Robert Lee Sappington ; ,1981,,Anthropology,, | Includes bibliographical references (leaves 184-209).,,,,,Includes bibliographical references (leaves 184-209).,,"Antiquities, Prehistoric -- Idaho -- Boise River Valley; Excavations (Archaeology) -- Idaho -- Boise River Valley; Indians of North America -- Idaho -- Boise River Valley -- Antiquities; Lydle Gulch Site (Idaho); Boise River Valley (Idaho) -- Antiquities",eng,"xvii, 258 leaves : illustrations, maps ; 29 cm",,M.A.,"University of Idaho, September 1981.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71164026210001451,,,,,,,,,
ikdb064,CP71125963240001451,record,"The feminine principle : identity, interdependence and hospitality in Leslie Marmon Silko's Gardens in the dunes",Thesis,Jacklinn S. Bennett,,"Mary Clearman Blew, 1939- degree supervisor.","Jacklinn S. Bennett ; Mary Clearman Blew, 1939- degree supervisor.",2011,,English,, | Major professor: Mary C. Blew.; Includes bibliographical references (leaves 98-100).,,,,,Major professor: Mary C. Blew.; Includes bibliographical references (leaves 98-100).,,"Silko, Leslie Marmon, 1948- Gardens in the dunes; Silko, Leslie Marmon, 1948- -- Criticism and interpretation; Silko, Leslie Marmon, 1948- -- Themes, motives; Feminism -- Indian influences; Feminism in literature",eng,"vi, 100 leaves ; 29 cm",,M.A.,"University of Idaho, June 2011.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71125963240001451,,,,,,,,,
ikdb065,CP71113806020001451,record,"Prehistoric settlement and subsistence in Reynolds Creek, Owyhee County, Idaho",Thesis,Jeanne Moe,,,Jeanne Moe ; ,1982,,Anthropology,, | Includes bibliographical references (leaves 137-145).,,,,,Includes bibliographical references (leaves 137-145).,,"Antiquities, Prehistoric -- Idaho -- Reynolds Creek Watershed (Owyhee County); Antiquities, Prehistoric -- Idaho -- Owyhee County; Excavations (Archaeology) -- Idaho -- Owyhee County; Excavations (Archaeology) -- Idaho -- Reynolds Creek Watershed (Owyhee County); Indians of North America -- Idaho -- Reynolds Creek Watershed (Owyhee County) -- Antiquities; Indians of North America -- Idaho -- Owyhee County -- Antiquities; Land settlement patterns, Prehistoric -- Idaho -- Owyhee County; Land settlement patterns, Prehistoric -- Idaho -- Reynolds Creek Watershed (Owyhee County); Demographic archaeology -- Idaho -- Owyhee County; Demographic archaeology -- Idaho -- Reynolds Creek Watershed (Owyhee County); Subsistence economy -- Idaho -- Owyhee County; Subsistence economy -- Idaho -- Reynolds Creek Watershed (Owyhee County); Reynolds Creek Watershed (Owyhee County, Idaho) -- Antiquities; Owyhee County (Idaho) -- Antiquities",eng,"x, 164 leaves : illustrations, maps ; 29 cm",,M.A.,"University of Idaho, March 1982.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71113806020001451,,,,,,,,,
ikdb066,CP71243330980001451,record,"Water management and structuration theory : a case study in the Coeur d'Alene, Idaho--Spokane, Washington region",Thesis,Jessica (Jessica Renae) Daniel,,Patrick R. (Patrick Ross) Wilson,Jessica (Jessica Renae) Daniel ; Patrick R. (Patrick Ross) Wilson,2015,,Water Resources,,"There is a lack of understanding about how the interplay between individual actions and social structures informs water management practices. While Structuration Theory provides a holistic examination of individual and structural levels, it is not robustly applied in water management settings. Such an integrated understanding is critical when water crosses jurisdictions and management responsibilities are fragmented among organizations. This situation exists in the case study area, the Coeur d'Alene, Idaho---Spokane, Washington region. Primary qualitative data were collected through interviews with water management, use, allocation, and protection actors. Snowball sampling generated this interview sample. An interdisciplinary component integrated hydrology, environmental science, and engineering data to contextualize interviews, frame analysis, and provide biophysical information. Results were analyzed with respect to Structuration Theory's propositions and concepts. Overall, actors realized collaboration's benefits and held pro-collaborative perspectives, but regulations and institutional arrangements constrained collaboration's scope. Thus, collaborative behaviors were limited to data collection and sharing, capacity building, and relationship development. Norms, state, tribal, and federal regulations, and the differences between Washington and Idaho water management institutions were important components of the water management system. Even with trends towards collaboration and strategic, context-appropriate management behaviors, social structures informed behavior more than actors affected them. This study demonstrated Structuration Theory's explanatory value in framing and understanding complex water management systems. This successful application argues for the appropriateness of and need for enhanced empirical use of Structuration Theory within water management research. | Major professor: Patrick Wilson.; Includes bibliographical references (leaves 150-161).",,,,,Major professor: Patrick Wilson.; Includes bibliographical references (leaves 150-161).,"There is a lack of understanding about how the interplay between individual actions and social structures informs water management practices. While Structuration Theory provides a holistic examination of individual and structural levels, it is not robustly applied in water management settings. Such an integrated understanding is critical when water crosses jurisdictions and management responsibilities are fragmented among organizations. This situation exists in the case study area, the Coeur d'Alene, Idaho---Spokane, Washington region. Primary qualitative data were collected through interviews with water management, use, allocation, and protection actors. Snowball sampling generated this interview sample. An interdisciplinary component integrated hydrology, environmental science, and engineering data to contextualize interviews, frame analysis, and provide biophysical information. Results were analyzed with respect to Structuration Theory's propositions and concepts. Overall, actors realized collaboration's benefits and held pro-collaborative perspectives, but regulations and institutional arrangements constrained collaboration's scope. Thus, collaborative behaviors were limited to data collection and sharing, capacity building, and relationship development. Norms, state, tribal, and federal regulations, and the differences between Washington and Idaho water management institutions were important components of the water management system. Even with trends towards collaboration and strategic, context-appropriate management behaviors, social structures informed behavior more than actors affected them. This study demonstrated Structuration Theory's explanatory value in framing and understanding complex water management systems. This successful application argues for the appropriateness of and need for enhanced empirical use of Structuration Theory within water management research.","Water-supply -- Co-management -- Case studies; Water-supply -- Co-management -- Idaho -- Idaho Panhandle -- Case studies; Water-supply -- Co-management -- Washington (State), Eastern -- Case studies; Water resources development -- Political aspects -- Idaho -- Idaho Panhandle -- Case studies; Water resources development -- Political aspects -- Washington (State), Eastern -- Case studies",eng,"viii, 169 leaves ; 29 cm",Print ISBN: 9781321934687,Ph. D.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71243330980001451,,,,,,,,,
